Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views,price,market_cap,volume
2024-10-05,MAGA,8680,1605,881,771965,0.8270670208237327,0.808086663906542,0.8215915549693315,0.0888281718044931,0.1135684384978193,0.1010249557970529,0.0841048086678571,0.0783448972753894,0.077383476436341,3.017384318809494,139106731.65116304,4393500.807595068
2024-10-05,NEAR,3495,796,245,417340,0.561147209127897,0.4980474186180904,0.5817045525633776,0.3695796352640915,0.4374044426407034,0.3356017250660468,0.0692731719609442,0.064548145955402,0.0826937389629642,4.824112854750934,5341058776.957424,395610161.88718075
2024-10-05,PEPE,8411,1033,474,360541,0.692685404582095,0.7565653744046467,0.6166663351151463,0.0891535938341457,0.0870292154104549,0.0585304212427102,0.2181609677219118,0.1564053918673765,0.3248032015105605,9.37923050848553e-06,3942319911.143104,1931385647.9951556
2024-10-05,SOLANA,823,203,307,83069,0.8110941856986634,0.864848065862069,0.720155818396875,0.0480519217934386,0.0271688799064039,0.0561300841609264,0.1408538740425273,0.1079830312906404,0.2237140785092634,143.16476802180077,67069277149.62741,3107174327.531866
2024-10-05,XRP,1420,291,130,113713,0.8534119627704224,0.8726828774570446,0.8607302567164705,0.0672563648422535,0.056515361532646,0.0794726214506477,0.0793316847232394,0.0708017822130584,0.0597971270589818,0.5347464951856385,30241736953.735302,1756699967.6584756
2024-10-06,BITCOIN,5992,802,385,357191,0.880074339560247,0.8826260804114714,0.8601049308480505,0.0544877727114485,0.0451206362144638,0.056905100140723,0.0654378701091455,0.0722532701820449,0.0829899593200612,62091.932585194016,1226761949791.163,11095453162.990673
2024-10-06,DOGE,2625,246,194,247244,0.873181818063238,0.8888818810162602,0.814091252176708,0.0699774288548571,0.0529769979959349,0.0838506232772928,0.056840755919238,0.058141097101626,0.1020580964854961,0.10955507475498369,16014067342.601536,451209519.61005574
2024-10-06,ETH,1339,206,225,84534,0.7838803468588499,0.8278637499029128,0.7806859064844678,0.0513238136557132,0.045076830526699,0.0673202219643516,0.1647958457714712,0.1270594283616505,0.15199388388992,2415.4038137445546,290706276902.6144,7362867897.959902
2024-10-06,MAGA,5487,2461,675,153393,0.9123019542391108,0.9217053307964242,0.9089465928232447,0.049819472470749,0.0437097267399431,0.0515876828253701,0.0378785129768543,0.0345848680568874,0.0394656735693871,3.122237334951195,143669446.70301306,4192367.6328284834
2024-10-06,NEAR,4766,285,238,345878,0.6759192082769618,0.7199291588070176,0.6564400745655116,0.0841329479119807,0.147139874445614,0.127641634178375,0.2399478712635334,0.132930970122807,0.2159183076989025,4.7809972013838555,5293345179.416819,261522627.8722245
2024-10-06,PEPE,1889,390,237,99026,0.8484874603811541,0.8548853706923077,0.8767023970521883,0.0843334100849655,0.0733489468205128,0.0535893290727435,0.0671791398671254,0.071765692876923,0.0697082822393108,9.3393998125039e-06,3924208706.949396,1477018036.4794555
2024-10-06,SOLANA,1461,233,378,71254,0.7664816488405203,0.7958426459227467,0.7672490695925842,0.0796719494921286,0.0449448996051502,0.0737796289443961,0.153846411229295,0.1592124757424892,0.1589713104539955,142.74066530825795,66856779428.43124,1404635947.7139452
2024-10-06,XRP,4329,672,358,363122,0.8030104231859552,0.7755939392113095,0.8249140473380021,0.1422244332448602,0.1654148530625,0.1173239395257434,0.0547651464328944,0.0589912120223214,0.0577620045378908,0.529571423116506,29950127382.310875,704787690.747097
2024-10-07,BITCOIN,3136,619,406,259383,0.7258526978125001,0.7470372724894991,0.706796398659172,0.1593160148276466,0.1459634082907915,0.1473549813716974,0.1148312740376275,0.1069992964329563,0.1458486001965587,62811.79972811266,1241834324867.657,14592422860.685436
2024-10-07,DOGE,4258,612,404,222767,0.8731023395829028,0.895670569866013,0.8618689380157654,0.0682216450533114,0.0435637426732026,0.0831971632082624,0.05867597122217,0.0607656368545751,0.0549338591369996,0.11143232086557313,16300599147.425789,510711345.8873673
2024-10-07,ETH,775,130,174,45618,0.8684320261083872,0.9015441302307692,0.8466392868880266,0.05694607312,0.0349997910153846,0.0780442353515279,0.0746218952103225,0.0634560677076923,0.0753164729782761,2438.030912544012,293516242471.9333,7641011283.520121
