Date,Crypto,Likes,Retweets,Replies,Views,positive_score_likes,positive_score_retweets,positive_score_views,neutral_score_likes,neutral_score_retweets,neutral_score_views,negative_score_likes,negative_score_retweets,negative_score_views
2024-10-11,BITCOIN,8944,1442,1008,702827,0.8951238886972271,0.9024411038446604,0.87407500400671,0.04431387016910779,0.043663534512482664,0.048788947636643154,0.06056225092520125,0.05389538061095701,0.0771360618398596
2024-10-11,DOGE,619,63,155,63683,0.7019026847641358,0.8190475057142858,0.6689215141993154,0.09120687899192245,0.030936584555555556,0.05752498386366848,0.20689044659127623,0.1500159322857143,0.27355350479613094
2024-10-11,ETH,1285,203,222,88045,0.8227492823999998,0.8112534650246305,0.7863450066063035,0.092232851277821,0.07628144266995074,0.09205624054103016,0.08501784832607003,0.11246507304433498,0.12159873952698051
2024-10-11,MAGA,4485,547,272,99444,0.7256942584147158,0.7512743425045704,0.7516236988965548,0.22151163139063546,0.1973875691023766,0.1838537960034391,0.052794091813823864,0.051338069645338213,0.0645224908438317
2024-10-11,NEAR,7457,1225,257,325001,0.88360113723079,0.8568164604081634,0.7821218006641364,0.051831184042577444,0.06027649519836735,0.12688059097685392,0.06456769889861876,0.0829070686155102,0.09099762696984778
2024-10-11,PEPE,5002,614,520,358973,0.9084683889704118,0.8943430276221498,0.9012977736712007,0.024575708292582966,0.028560175482084692,0.02723647811333582,0.06695590433646541,0.07709679654234528,0.0714657320088419
2024-10-11,SOLANA,1934,325,549,279002,0.8069428626034125,0.8322784284307692,0.7264064706143505,0.03574816793459152,0.02529847758,0.02415344632684712,0.157308960565667,0.14242308021538463,0.24944007773376892
2024-10-11,XRP,5535,1131,282,425378,0.7956416758531165,0.7657715881697612,0.8014286105235884,0.1402240010339657,0.1656694575932803,0.13666898243588993,0.06413431679313461,0.06855894690539345,0.061902399132966454
2024-10-12,BITCOIN,1549,291,376,145000,0.8347123446778567,0.8762908312680413,0.7147492012779311,0.08325041177985798,0.04849492033333334,0.12824702207806207,0.08203724215106521,0.07521424124742268,0.15700378739527587
2024-10-12,DOGE,1897,331,398,72027,0.9066212567053242,0.9120275799395771,0.9063276861399198,0.03117915324301529,0.03415059856797584,0.036727081104016554,0.062199586668423824,0.053821819126888215,0.056945227420744995
2024-10-12,ETH,884,166,269,65967,0.8256711435180996,0.837837235,0.822578206355602,0.025408573943438918,0.025214227518072292,0.024549092420983215,0.14892026605542985,0.1369485249277108,0.152872679635924
2024-10-12,MAGA,1979,503,748,102125,0.7974815658817586,0.7761971576938371,0.8022734859195104,0.16614917707705915,0.18680342970278332,0.16319380847968176,0.03636928557200606,0.0369994192445328,0.034532746784572826
2024-10-12,NEAR,9085,886,397,993564,0.6295267577389102,0.7257034646252821,0.6119045249144112,0.3213035521947165,0.2231894474469526,0.3516729240667632,0.0491696941392405,0.051107086954853276,0.036422555693326246
2024-10-12,PEPE,969,238,203,283290,0.8847959792053665,0.7993302905462185,0.9282985712991634,0.03223523226006192,0.027632557235294116,0.03468191555877723,0.0829687768390093,0.17303713930672265,0.03701947773738572
